Fecha,Valor Real,Predicción
2024-01-01,244.32928931,284.64313
2024-02-01,274.98538408,280.0064
2024-03-01,280.585912080001,263.39685
2024-04-01,220.28570494,275.29028
2024-05-01,263.41116923,265.24503
2024-06-01,290.11315212,255.21265
2024-07-01,311.73273399,282.86212
2024-08-01,307.27508982,296.299
2024-09-01,300.106804,296.63266
2024-10-01,325.27866713,290.2805
2024-11-01,377.39446703,294.54858
2024-12-01,426.35009748000004,324.3408
